Scenario,Law,Similarity
"In a tragic road accident, three people lost their lives and four people were injured after their car collided with a truck on the Badarpur flyover in southe- ast Delhi on Sunday. Police said the car, carry- ing seven passengers, was on Its way to Okhla's Sanjay Co- lony from a wedding in Hary. ana's Faridabad when it vee red out of control on the Ba darpur flyover, crashing into a divider and ultimately colliding with a truck travelling in the opposite direction. The collision proved fatal for Raj (21), Sanju (38), and Di nesh (22), while leaving four others injured. DCP (southeast) Rajesh Deo said they received a PCR call at 12.48 am about the inci dent near the Honda showro om on the Badarpur flyover. ""A team was rushed to the spot, where a car was discove red in a completely mangled condition, along with a truck that had its front end dama ged from the impact of the col lision. The injured were rus hed to a hospital for medical attention, but three of them succumbed to their injuries,"" said the senior police official. The DCP added that among the injured, Ansul (18) MANGLED REMAINS: The vehicles involved in the collision was in critical condition and undergoing treatment for his injuries. Neeraj (18), Ajit (28), and Vishal (28) were stable and receiving medical care Police investigation reve aled that while on the flyover the car driver lost control of the vehicle and hit a divider first. Due to the impact of the POLICE SAY Six of them hailed from Mathura in UP, while Sanju was from Tripura, yet they were all settled permanently in Okhla collision, the car bounced off the divider onto the opposite carriageway, where it collided with a moving truck. ","sections 304A (death due to negligence) - Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.->Punishment - 2 Years or Fine or Both",1
"A three-year- old girl was crushed to death by a valet parking a visitor's car at Shipra Mall of Indira puram on Saturday evening. The girl's father said he pleaded with folded hands, but failed to get any vehicle to take her bleeding daugh- ter to hospital. As the clock ticked away, the girl's father rushed to the parking lot to get his bike and took his daughter to a nearby health facility, where she succum bed to the injuries. Vineet Sethi, the manpar king the car, was arrested. Vivek Pandey - a mana ger at a fuel station-had ta ken his wife Garima and daughter Ridhi to the mall for a movie. Around 7pm. they came out of the mall to go back home when the car mowed her down at a tur ning on the mall premises. ""The valet parking the car did not see the little girl. She was knocked down and suffered grievous injuries to her head. She started ble eding from the injuries and was taken to a private hospital. She had lost a lot of blood The car that led to the tragic end for the child. Doctors could not revive her,"" said Nimish Patil, DCP (trans-Hindon).","sections 279 (rash driving) - Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.->Punishment 6 Months or Fine or Both",1
"A nine-year-old girl appeared in a Chennai court to recount in chilling detail how her father killed her mother and grandfather, closing a case that hinged on her testimony and leading the judge to convict and sen- tence accused Abdul Khader to life imprisonment for the double murder. The child's appearance at Chennai's Mahila court for final day of the trial had those present gaping as she spoke of helplessly witnessing her father striking her mother Ghouse Unisa and grandfa- Man takes daughter to cops over phone 'addiction', held after she reveals rape Amman was arrested on charges of sexually assaulting his Aminor daughter.","IPC section 302 (murder)- Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.->Punishment - Death or Imprisonment for Life + Fine

",1
"Sharma, 48, had died after falling from eighth floor of Mangalam Aad- har Apartments in Sikandra during a police raid on Friday evening. Cops claimed Sharma was attempting to escape from the balcony of an adja cent flat when he slipped and fell. The incident sparked protests by legal fra- ternity who demanded action against the policemen involved.""They dragged my husband to flat number 802, adjacent to our own, where he died after being pushed from the balcony. The policemen also took away important documents from our apartment and destroyed evi- dence,"" the complaint said.","IPC section 302 (murder)- Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.->Punishment - Death or Imprisonment for Life + Fine

",1
"Sharma, 48, had died after falling from eighth floor of Mangalam Aad- har Apartments in Sikandra during a police raid on Friday evening. Cops claimed Sharma was attempting to escape from the balcony of an adja cent flat when he slipped and fell. The incident sparked protests by legal fra- ternity who demanded action against the policemen involved.""They dragged my husband to flat number 802, adjacent to our own, where he died after being pushed from the balcony. The policemen also took away important documents from our apartment and destroyed evi- dence,"" the complaint said.","IPC section 147 (rioting) - Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.
",1
"Sharma, 48, had died after falling from eighth floor of Mangalam Aad- har Apartments in Sikandra during a police raid on Friday evening. Cops claimed Sharma was attempting to escape from the balcony of an adja cent flat when he slipped and fell. The incident sparked protests by legal fra- ternity who demanded action against the policemen involved.""They dragged my husband to flat number 802, adjacent to our own, where he died after being pushed from the balcony. The policemen also took away important documents from our apartment and destroyed evi- dence,"" the complaint said.","IPC section 201 (causing disappearance of evidence of of fence) - Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offender from legal punishment, or with that intention gives any information respecting the offence which he knows or believes to be false;

If a capital offence — shall, if the offence which he knows or believes to have been committed is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;

If punishable with imprisonment for life — and if the offence is punishable with imprisonment for life, or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;

If punishable with less than ten years imprisonment — and if the offence is punishable with imprisonment for any term not extending to ten years, shall be punished with imprisonment of the description provided for the offence, for a term which may extend to one-fourth part of the longest term of the imprisonment provided for the offence, or with fine, or with both.
",1
"Sharma, 48, had died after falling from eighth floor of Mangalam Aad- har Apartments in Sikandra during a police raid on Friday evening. Cops claimed Sharma was attempting to escape from the balcony of an adja cent flat when he slipped and fell. The incident sparked protests by legal fra- ternity who demanded action against the policemen involved.""They dragged my husband to flat number 802, adjacent to our own, where he died after being pushed from the balcony. The policemen also took away important documents from our apartment and destroyed evi- dence,"" the complaint said.","IPC section 342 (wrongful confinement)- Whoever wrongfully confines any person shall be punished with simple imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.->Punishment - 1 Year or Fine or Both

",1
"Sharma, 48, had died after falling from eighth floor of Mangalam Aad- har Apartments in Sikandra during a police raid on Friday evening. Cops claimed Sharma was attempting to escape from the balcony of an adja cent flat when he slipped and fell. The incident sparked protests by legal fra- ternity who demanded action against the policemen involved.""They dragged my husband to flat number 802, adjacent to our own, where he died after being pushed from the balcony. The policemen also took away important documents from our apartment and destroyed evi- dence,"" the complaint said.","IPC 427 (causing damage to property) - Whoever commits mischief and thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1
"Sharma, 48, had died after falling from eighth floor of Mangalam Aad- har Apartments in Sikandra during a police raid on Friday evening. Cops claimed Sharma was attempting to escape from the balcony of an adja cent flat when he slipped and fell. The incident sparked protests by legal fra- ternity who demanded action against the policemen involved.""They dragged my husband to flat number 802, adjacent to our own, where he died after being pushed from the balcony. The policemen also took away important documents from our apartment and destroyed evi- dence,"" the complaint said."," IPC 504 (intentional insult with in- tent to provoke breach of the peace) - Whoever intentionally insults, and thereby gives provocation to any person, intending or knowing it to be likely that such provocation will cause him to break the public peace, or to commit any other offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.
",1
"A lawyer was thrashed by two men, one of whom was an Army naik following an altercation when his car was hit by the vehicle of the two men in so uthwest Delhi's Safdarjung Enclave on Friday Police sa id one of the accused bran dished a gun on seeing a crowd collect. ","Indian Penal Code's section 323 (voluntarily causing hurt) - Whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.
",1
